turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
TurnRate.NO_TI_DEFAULT,511,,,,,111.6,,15,,,,,41.346303,b'\x00',,0,1,False,,10,,0.0,,,,True,25600,,225394000,,0,2.152167,
TurnRate.NO_TI_LEFT,111,,,,,202.9,,0,,,,,41.337755,b'\x00',,0,1,False,,12,,0.1,,,,True,49290,,224569790,,0,2.165873,
0.0,261,,,,,259.8,,0,,,,,41.274372,b'\x00',,0,1,False,,11,,8.6,,,,True,49264,,636011280,,0,2.333288,
,,1,10,1012804,20,,35,,ZGFQ8,1,5,5,,b'\x00',BARCELONA,,5,,False,,2,,37,3.3,31,,,0,319095500,,0,,GIGAGI
TurnRate.NO_TI_DEFAULT,511,,,,,258.4,,0,,,,,41.378767,b'\x00',,0,1,True,,12,,0.1,,,,False,25600,,224001990,,0,2.182603,
0.0,3,,,,,78.0,,0,,,,,41.128855,b'\x00',,0,1,False,,13,,2.0,,,,False,65998,,354340000,,0,2.325102,
0.0,226,,,,,315.0,,15,,,,,41.342947,b'\x00',,0,1,False,,11,,0.0,,,,True,98771,,225989401,,0,2.158563,
TurnRate.NO_TI_DEFAULT,511,,,,,102.2,,7,,,,,41.373723,b'\x00',,0,1,True,,12,,0.0,,,,True,33248,,224066460,,0,2.184985,
0.0,27,,,,,360.0,,0,,,,,41.335593,b'\x00',,0,1,True,,12,,0.0,,,,True,33258,,224101930,,0,2.144972,
0.0,55,,,,,240.7,,0,,,,,41.347983,b'\x00',,0,1,False,,14,,0.1,,,,False,33265,,224327160,,0,2.162735,
TurnRate.NO_TI_DEFAULT,297,,,,,153.4,,5,,,,,41.364498,b'\x00',,0,3,False,,12,,0.0,,,,True,0,,209410000,,0,2.177522,
0.0,37,,,,,39.7,,0,,,,,41.076813,b'\x00',,0,1,True,,13,,13.2,,,,True,98822,,636019446,,0,1.971892,
,,1,6,9570101,150,,33,,VRME9,2,19,13,,b'\x00',ES_BCN,,5,,False,,2,,80,10.3,3,,,30,477519100,,0,,SEACLIPPER
0.0,343,,,,,168.1,,5,,,,,41.379147,b'\x00',,0,3,True,,12,,0.0,,,,True,0,,319065000,,0,2.185598,
0.0,5,,,,,3.3,,7,,,,,41.37482,b'\x00',,0,1,False,,14,,0.0,,,,False,33330,,224220140,,0,2.185235,
0.0,5,,,,,253.5,,0,,,,,41.340835,b'\x00',,0,1,False,,15,,0.0,,,,False,66126,,224220360,,0,2.150228,
10.0,280,,,,,281.4,,0,,,,,41.268088,b'\x00',,0,3,False,,14,,10.9,,,,True,6640,,613013405,,0,2.230837,
0.0,26,,,,,310.7,,0,,,,,41.364018,b'\x00',,0,1,False,,13,,0.1,,,,False,25600,,224115180,,0,2.179697,
2.0,109,,,,,326.7,,0,,,,,41.340315,b'\x00',,0,1,False,,16,,0.0,,,,True,82017,,225994881,,0,2.165442,
5.0,280,,,,,281.3,,0,,,,,41.268098,b'\x00',,0,3,False,,15,,10.9,,,,True,4128,,613013405,,0,2.230768,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.32772,b'\x00',,0,1,True,,17,,0.0,,,,True,33415,,225987164,,0,2.158147,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340413,b'\x00',,0,1,True,,17,,0.0,,,,True,25600,,224551570,,0,2.165247,
0.0,216,,,,,114.8,,0,,,,,41.31105,b'\x00',,0,1,False,,17,,0.1,,,,True,82047,,636020899,,0,2.150948,
0.0,190,,,,,280.3,,5,,,,,41.347267,b'@',,0,3,False,,17,,0.0,,,,False,85370,,229455000,,0,2.171752,
0.0,6,,,,,185.9,,9,,,,,41.369843,b'\x00',,0,1,False,,60,,0.0,,,,True,82018,,224904000,,0,2.185767,
0.0,6,,,,,103.8,,15,,,,,41.345815,b'\x00',,0,3,False,,16,,0.0,,,,True,2163,,224026000,,0,2.15199,
0.0,88,,,,,360.0,,0,,,,,41.327687,b'\x00',,0,1,True,,18,,0.0,,,,True,66248,,225987163,,0,2.158505,
0.0,207,,,,,190.3,,5,,,,,41.360063,b'\x00',,0,3,False,,18,,0.0,,,,False,217946,,275488000,,0,2.170963,
1.0,8,,,,,284.6,,0,,,,,41.371293,b'\x00',,0,1,False,,18,,0.0,,,,False,99025,,224588000,,0,2.17714,
-4.0,280,,,,,281.7,,0,,,,,41.268122,b'\x00',,0,3,False,,17,,10.9,,,,True,0,,613013405,,0,2.230627,
,,1,13,8229901,30,,35,,9HB4909,1,5,5,,b'\x00',ESBCN,,5,,False,,1,,36,5.6,22,,,0,249630000,,0,,S/Y CREOLE
0.0,192,,,,,244.0,,0,,,,,41.338388,b'\x00',,0,1,False,,58,,0.2,,,,False,25600,,229353000,,0,2.165573,
TurnRate.NO_TI_DEFAULT,511,,,,,259.7,,0,,,,,41.33872,b'\x00',,0,1,False,,19,,0.2,,,,False,33521,,224569880,,0,2.166335,
,,15,18,,,,,,,2,,,41.340807,b'\x00\x00',,,4,True,,19,,,,,11,False,2250,0,2240002,2024,0,2.164635,
,,7,18,,,,,,,2,,,41.335082,b'\x00\x00',,,4,False,,19,,,,,11,False,2250,0,2240991,2024,0,2.141278,
TurnRate.NO_TI_LEFT,110,,,,,202.9,,0,,,,,41.337757,b'\x00',,0,1,False,,21,,0.1,,,,True,99087,,224569790,,0,2.165858,
,,15,18,,,,,,,2,,,41.41733,b'\x80\x00',,,4,True,,20,,,,,11,False,114814,0,2241128,2024,0,2.114177,
0.0,26,,,,,144.0,,5,,,,,41.334833,b'\x00',,0,3,False,,20,,0.0,,,,True,84922,,249813000,,0,2.151333,
TurnRate.NO_TI_DEFAULT,511,,,,,254.4,,0,,,,,41.378765,b'\x00',,0,1,True,,21,,0.0,,,,False,2246,,224001990,,0,2.182602,
0.0,261,,,,,260.3,,0,,,,,41.274307,b'\x00',,0,1,False,,21,,8.7,,,,True,114778,,636011280,,0,2.332762,
